timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1552399695559,3782,3 /reserve.php,200,OK,jp@gc - Ultimate Thread Group 1-9,text,true,,239787,2793,5,5,http://www.blazedemo.com/reserve.php,831,0,6
1552399695559,831,3 /reserve.php-0,200,OK,jp@gc - Ultimate Thread Group 1-9,text,true,,11173,497,5,5,http://www.blazedemo.com/reserve.php,831,0,6
1552399696398,26,3 /reserve.php-1,200,OK,jp@gc - Ultimate Thread Group 1-9,text,true,,29697,470,5,5,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,17,0,6
1552399696424,590,3 /reserve.php-2,200,OK,jp@gc - Ultimate Thread Group 1-9,text,true,,28881,455,5,5,http://www.blazedemo.com/assets/bootstrap.min.js,583,0,0
1552399697014,537,3 /reserve.php-3,200,OK,jp@gc - Ultimate Thread Group 1-9,text,true,,39388,457,5,5,http://www.blazedemo.com/assets/bootstrap-table.js,526,0,0
1552399694684,4671,3 /reserve.php,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,239787,2793,5,5,http://www.blazedemo.com/reserve.php,880,0,107
1552399697552,843,3 /reserve.php-4,200,OK,jp@gc - Ultimate Thread Group 1-9,text,true,,126673,456,5,5,http://www.blazedemo.com/assets/bootstrap.min.css,789,0,0
1552399698838,503,3 /reserve.php-5,200,OK,jp@gc - Ultimate Thread Group 1-9,text,true,,3975,458,5,5,http://www.blazedemo.com/assets/bootstrap-table.css,503,0,4
1552399694684,882,3 /reserve.php-0,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,11173,497,5,5,http://www.blazedemo.com/reserve.php,880,0,107
1552399695621,26,3 /reserve.php-1,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,29697,470,5,5,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,21,0,8
1552399695647,551,3 /reserve.php-2,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,28881,455,5,5,http://www.blazedemo.com/assets/bootstrap.min.js,536,0,0
1552399696199,617,3 /reserve.php-3,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,39388,457,5,5,http://www.blazedemo.com/assets/bootstrap-table.js,598,0,0
1552399696817,1850,3 /reserve.php-4,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,126673,456,5,5,http://www.blazedemo.com/assets/bootstrap.min.css,1557,0,5
1552399698838,517,3 /reserve.php-5,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,3975,458,5,5,http://www.blazedemo.com/assets/bootstrap-table.css,517,0,4
1552399696560,3308,3 /reserve.php,200,OK,jp@gc - Ultimate Thread Group 1-8,text,true,,239787,2793,6,6,http://www.blazedemo.com/reserve.php,860,0,8
1552399696560,860,3 /reserve.php-0,200,OK,jp@gc - Ultimate Thread Group 1-8,text,true,,11173,497,6,6,http://www.blazedemo.com/reserve.php,860,0,8
1552399697427,27,3 /reserve.php-1,200,OK,jp@gc - Ultimate Thread Group 1-8,text,true,,29697,470,6,6,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,18,0,6
1552399697454,579,3 /reserve.php-2,200,OK,jp@gc - Ultimate Thread Group 1-8,text,true,,28881,455,6,6,http://www.blazedemo.com/assets/bootstrap.min.js,573,0,0
1552399698034,333,3 /reserve.php-3,200,OK,jp@gc - Ultimate Thread Group 1-8,text,true,,39388,457,6,6,http://www.blazedemo.com/assets/bootstrap-table.js,307,0,0
1552399698367,937,3 /reserve.php-4,200,OK,jp@gc - Ultimate Thread Group 1-8,text,true,,126673,456,6,6,http://www.blazedemo.com/assets/bootstrap.min.css,895,0,0
1552399699306,562,3 /reserve.php-5,200,OK,jp@gc - Ultimate Thread Group 1-8,text,true,,3975,458,6,6,http://www.blazedemo.com/assets/bootstrap-table.css,562,0,6
