timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1552510836223,3731,3 /reserve.php,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,239787,2793,4,4,http://www.blazedemo.com/reserve.php,873,0,80
1552510836223,875,3 /reserve.php-0,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,11173,497,4,4,http://www.blazedemo.com/reserve.php,873,0,80
1552510837139,31,3 /reserve.php-1,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,29697,470,4,4,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,22,0,3
1552510837171,521,3 /reserve.php-2,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,28881,455,4,4,http://www.blazedemo.com/assets/bootstrap.min.js,512,0,0
1552510837693,526,3 /reserve.php-3,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,39388,457,4,4,http://www.blazedemo.com/assets/bootstrap-table.js,514,0,0
1552510838220,801,3 /reserve.php-4,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,126673,456,4,4,http://www.blazedemo.com/assets/bootstrap.min.css,764,0,0
1552510839445,509,3 /reserve.php-5,200,OK,jp@gc - Ultimate Thread Group 1-10,text,true,,3975,458,4,4,http://www.blazedemo.com/assets/bootstrap-table.css,509,0,5
1552510837148,3245,3 /reserve.php,200,OK,jp@gc - Ultimate Thread Group 1-9,text,true,,239787,2793,5,5,http://www.blazedemo.com/reserve.php,789,0,3
1552510837148,790,3 /reserve.php-0,200,OK,jp@gc - Ultimate Thread Group 1-9,text,true,,11173,497,5,5,http://www.blazedemo.com/reserve.php,789,0,3
1552510837947,36,3 /reserve.php-1,200,OK,jp@gc - Ultimate Thread Group 1-9,text,true,,29697,470,5,5,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,25,0,4
1552510837984,533,3 /reserve.php-2,200,OK,jp@gc - Ultimate Thread Group 1-9,text,true,,28881,455,5,5,http://www.blazedemo.com/assets/bootstrap.min.js,524,0,0
1552510838517,535,3 /reserve.php-3,200,OK,jp@gc - Ultimate Thread Group 1-9,text,true,,39388,457,5,5,http://www.blazedemo.com/assets/bootstrap-table.js,522,0,0
